Jahr;Nummer der Gemeinde;Gemeindename;Einwohner;Wasserkraft;Biomasse_Holz;Biogasanlagen Landwirtschaft;Kehricht;Biogasanlagen Industrie;Biogasanlagen Abwasser;Photovoltaik;Total
2019;4946;Weinfelden;11559;9.62;;;55.345;;1.316;5.059;71.34
2019;4911;Bürglen (TG);3949;13.652;;;;;;1.521;15.173
2019;4501;Kradolf-Schönenberg;3605;13.893;;;;;;1.001;14.894
2019;4566;Frauenfeld;25622;1.575;;0.626;;1.326;1.229;9.255;14.011
2019;4881;Amlikon-Bissegg;1333;;;2.203;;;;4.408;6.611
2019;4591;Matzingen;2958;1.786;;;;;1.629;1.079;4.494
2019;4724;Eschlikon;4464;;0.113;2.207;;;;2.077;4.397
2019;4461;Amriswil;13745;;;;;;;4.306;4.306
2019;4696;Tägerwilen;4765;;;;;;;4.238;4.238
2019;4471;Bischofszell;5963;1.219;;;;;1.329;1.62;4.168
2019;4401;Arbon;14718;;;;;;;4.073;4.073
2019;4671;Kreuzlingen;22193;;;;;;;3.824;3.824
2019;4781;Wängi;4742;;;0.693;;;;3.057;3.75
2019;4721;Bichelsee-Balterswil;2873;;2.439;;;;;1.235;3.674
2019;4551;Aadorf;9028;0.247;;;;;0.016;3.281;3.544
2019;4411;Egnach;4687;;;;;;;3.527;3.527
2019;4711;Affeltrangen;2603;;;;;;;3.262;3.262
2019;4416;Hefenhofen;1201;;;;;;0.675;2.42;3.095
2019;4891;Berg (TG);3444;;;0.675;;;;2.243;2.918
2019;4431;Roggwil (TG);3082;;;0.101;;;;2.701;2.802
2019;4841;Pfyn;2065;2.065;;;;;;0.697;2.762
2019;4831;Müllheim;2995;1.42;;;;;;1.265;2.685
2019;4666;Kemmental;2591;;;;;;;2.641;2.641
2019;4941;Märstetten;2884;;;;;;;2.583;2.583
2019;4811;Herdern;1111;;;1.077;;;;1.366;2.443
2019;4726;Fischingen;2792;;;0.289;;;;2.098;2.387
2019;4761;Sirnach;7783;0.467;;;;;;1.797;2.264
2019;4476;Erlen;3764;;;;;;;2.255;2.255
2019;4951;Wigoltingen;2456;;;;;;;2.143;2.143
2019;4436;Romanshorn;11236;;;;;;;2.127;2.127
2019;4816;Homburg;1541;;;;;;;2.027;2.027
2019;4536;Basadingen-Schlattingen;1828;;;;;;;1.965;1.965
2019;4571;Gachnang;4443;;;;;;;1.831;1.831
2019;4821;Hüttwilen;1769;;;;;;;1.758;1.758
2019;4746;Münchwilen (TG);5667;;;;;;;1.708;1.708
2019;4701;Wäldi;1049;;;0.421;;;;1.26;1.681
2019;4511;Zihlschlacht-Sitterdorf;2436;0.362;;;;;;1.304;1.666
2019;4506;Sulgen;3901;;;;;;;1.592;1.592
2019;4486;Hauptwil-Gottshaus;1987;;;;;;;1.447;1.447
2019;4864;Steckborn;3736;0.021;;;;;;1.408;1.429
2019;4776;Tobel-Tägerschen;1601;;;;;;;1.387;1.387
2019;4611;Thundorf;1486;;;;;;;1.372;1.372
2019;4545;Diessenhofen;4029;;;;;;;1.355;1.355
2019;4495;Hohentannen;584;;;;;;;1.347;1.347
2019;4681;Langrickenbach;1274;;;;;;;1.321;1.321
2019;4791;Wuppenau;1118;;;;;;;1.261;1.261
2019;4641;Altnau;2280;;;;;;;1.232;1.232
2019;4656;Güttingen;1656;;;;;;;1.221;1.221
2019;4921;Bussnang;2452;;;;;;;0.975;0.975
2019;4786;Wilen (TG);2515;;;;;;;0.973;0.973
2019;4691;Münsterlingen;3495;;;;;;0.172;0.718;0.89
2019;4643;Bottighofen;2295;;;;;;;0.877;0.877
2019;4426;Kesswil;1000;;;;;;;0.869;0.869
2019;4421;Horn;2898;;;;;;;0.867;0.867
2019;4646;Ermatingen;3521;;;;;;;0.834;0.834
2019;4616;Uesslingen-Buch;1078;;;;;;;0.832;0.832
2019;4806;Eschenz;1833;;;;;;;0.777;0.777
2019;4606;Stettfurt;1228;;;;;;;0.763;0.763
2019;4723;Braunau;814;;;;;;;0.76;0.76
2019;4621;Warth-Weiningen;1334;;;;;;;0.759;0.759
2019;4756;Schönholzerswilen;846;;;;;;;0.752;0.752
2019;4590;Hüttlingen;840;;;;;;;0.717;0.717
2019;4751;Rickenbach (TG);2798;;;;;;;0.705;0.705
2019;4683;Lengwil;1738;;;;;;;0.646;0.646
2019;4716;Bettwiesen;1223;;;;;;;0.637;0.637
2019;4451;Uttwil;1889;;;;;;;0.558;0.558
2019;4741;Lommis;1208;;;;;;;0.557;0.557
2019;4871;Wagenhausen;1711;;;;;;;0.523;0.523
2019;4601;Neunforn;1040;;;;;;;0.464;0.464
2019;4406;Dozwil;684;;;;;;;0.44;0.44
2019;4546;Schlatt (TG);1771;;;;;;;0.423;0.423
2019;4851;Salenstein;1364;;;;;;;0.372;0.372
2019;4846;Raperswilen;413;;;;;;;0.352;0.352
2019;4801;Berlingen;894;;;;;;0.119;0.199;0.318
2019;4446;Sommeri;608;;;;;;;0.308;0.308
2019;4561;Felben-Wellhausen;2858;;;;;;;0.289;0.289
2019;4441;Salmsach;1454;;;;;;;0.175;0.175
2019;4901;Birwinken;1340;;;;;;;0.141;0.141
2019;4826;Mammern;658;;;;;;;0.113;0.113
2019;4651;Gottlieben;331;;;;;;;0.035;0.035
